Molecular Weight,LogP,Ring Count,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticRings,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumValenceElectrons,NumRotatableBonds,NumRadicalElectrons,activity
466.113332564,3.8778000000000032,5.0,0.0,1.0,4.0,75.63000000000001,0.0,7.0,7.0,0.0,164.0,5.0,0.0,1
452.13406800800004,4.423620000000004,4.0,0.0,0.0,4.0,66.4,0.0,6.0,6.0,0.0,160.0,7.0,0.0,1
443.0544377840001,3.325700000000002,5.0,0.0,1.0,4.0,79.29,0.0,7.0,8.0,0.0,148.0,4.0,0.0,1
446.1524949440001,2.9061200000000014,5.0,0.0,1.0,4.0,92.18,0.0,8.0,7.0,0.0,162.0,4.0,0.0,1
298.125217576,3.0139000000000014,3.0,0.0,0.0,3.0,41.05,1.0,4.0,5.0,1.0,108.0,5.0,0.0,1
466.14971807200004,4.813720000000004,4.0,0.0,0.0,4.0,66.4,0.0,6.0,6.0,0.0,166.0,8.0,0.0,1
374.087117816,2.4399000000000006,4.0,0.0,1.0,3.0,66.4,0.0,6.0,6.0,0.0,130.0,3.0,0.0,1
402.11841794400004,3.2185000000000024,4.0,0.0,1.0,3.0,66.4,0.0,6.0,6.0,0.0,142.0,4.0,0.0,1
445.1572459760001,3.5111200000000027,5.0,0.0,1.0,4.0,79.29,0.0,7.0,6.0,0.0,162.0,4.0,0.0,1
435.136510532,3.1041200000000018,5.0,0.0,1.0,4.0,92.43,0.0,8.0,7.0,0.0,158.0,4.0,0.0,1
446.1524949440001,2.9061200000000014,5.0,0.0,1.0,4.0,92.18,0.0,8.0,7.0,0.0,162.0,4.0,0.0,1
446.1524949440001,2.9061200000000014,5.0,0.0,1.0,4.0,92.18,0.0,8.0,7.0,0.0,162.0,4.0,0.0,1
451.11366691200004,3.5726200000000023,5.0,0.0,1.0,4.0,79.29,0.0,7.0,7.0,0.0,158.0,4.0,0.0,1
445.1572459760001,3.5111200000000027,5.0,0.0,1.0,4.0,79.29,0.0,7.0,6.0,0.0,162.0,4.0,0.0,1
446.1524949440001,2.9061200000000014,5.0,0.0,1.0,4.0,92.18,0.0,8.0,7.0,0.0,162.0,4.0,0.0,1
478.1133325640001,4.071800000000003,5.0,0.0,1.0,4.0,83.47000000000001,0.0,7.0,7.0,0.0,168.0,5.0,0.0,1
508.123897248,4.045900000000003,5.0,0.0,1.0,4.0,92.7,0.0,8.0,8.0,0.0,180.0,6.0,0.0,1
368.1306968800001,2.4491200000000006,4.0,0.0,1.0,3.0,66.4,0.0,6.0,5.0,0.0,134.0,3.0,0.0,1
548.2028162640001,3.5828200000000026,6.0,0.0,2.0,4.0,81.67,1.0,8.0,8.0,1.0,198.0,6.0,0.0,1
454.0933460680001,4.008300000000004,5.0,0.0,1.0,4.0,66.4,0.0,6.0,6.0,0.0,158.0,4.0,0.0,1
343.099062404,2.713990000000001,3.0,0.0,0.0,3.0,69.14,1.0,6.0,6.0,1.0,124.0,5.0,0.0,1
537.160138436,4.879020000000005,5.0,0.0,1.0,4.0,78.87,0.0,8.0,7.0,0.0,192.0,6.0,0.0,1
500.16305962800004,3.0813200000000016,6.0,0.0,1.0,5.0,104.19000000000001,1.0,9.0,7.0,1.0,182.0,4.0,0.0,1
435.14774391200007,2.0298199999999995,5.0,0.0,1.0,4.0,97.11000000000001,0.0,9.0,8.0,0.0,158.0,4.0,0.0,1
385.11931918,3.4601000000000015,3.0,0.0,0.0,3.0,86.47,3.0,6.0,5.0,2.0,140.0,6.0,0.0,1
345.043567396,4.053800000000002,3.0,0.0,0.0,3.0,68.00999999999999,3.0,4.0,3.0,2.0,116.0,3.0,0.0,1
403.10875449599996,5.192700000000004,4.0,0.0,0.0,4.0,77.24,3.0,5.0,4.0,2.0,144.0,5.0,0.0,1
298.08883206800004,2.2459999999999996,3.0,0.0,0.0,3.0,80.9,3.0,5.0,5.0,2.0,106.0,4.0,0.0,1
390.169190564,3.288000000000001,4.0,0.0,0.0,4.0,102.26,4.0,7.0,5.0,3.0,148.0,6.0,0.0,1
401.1739415960001,4.478400000000002,4.0,0.0,0.0,4.0,86.47,3.0,6.0,5.0,2.0,152.0,5.0,0.0,1
319.168462292,3.569700000000002,3.0,0.0,0.0,3.0,68.01,3.0,4.0,3.0,2.0,122.0,6.0,0.0,1
